word,global,noise-aware,self,top,bot
vitro,175.585,176.613,174.657,0.000,0.000
therapeutic,200.805,199.676,213.637,0.000,0.000
tumor,174.139,176.950,184.302,0.000,0.000
induced,148.613,148.438,155.783,0.000,0.000
secondary,128.335,128.800,148.905,0.000,0.000
2009,81.964,76.961,59.049,0.000,0.000
affected,76.014,75.641,144.220,0.000,0.000
protocol,129.180,129.796,134.413,0.000,0.000
applied,107.494,105.265,143.656,0.000,0.000
hand,108.703,107.638,175.156,0.000,0.000
conducted,94.871,93.596,146.389,0.000,0.000
image,187.713,187.775,226.435,0.000,0.000
severity,171.958,170.252,199.315,0.000,0.000
experience,92.150,93.163,147.014,0.000,0.000
government,111.270,112.606,161.596,0.000,0.000
volume,140.937,140.712,179.557,0.000,0.000
particularly,57.210,56.302,114.373,0.000,0.000
copyright,322.922,324.324,247.569,0.000,0.000
received,100.512,97.177,185.408,0.000,0.000
prevalence,215.455,216.648,224.253,0.000,0.000
icu,154.918,155.030,161.777,0.000,0.000
design,109.083,107.084,139.719,0.000,0.000
genetic,171.224,169.979,207.217,0.000,0.000
interest,103.668,100.995,162.102,0.000,0.000
needed,79.948,78.655,155.200,0.000,0.000
diagnostic,162.645,162.360,180.756,0.000,0.000
resulting,69.847,68.877,109.835,0.000,0.000
emergency,96.637,98.269,186.585,0.000,0.000
affect,109.449,110.411,253.749,0.000,0.000
rapid,115.275,113.510,163.937,0.000,0.000
weight,166.473,161.941,296.954,0.000,0.000
proposed,109.872,106.936,136.006,0.000,0.000
article,117.514,118.187,185.086,0.000,0.000
good,76.064,73.678,169.030,0.000,0.000
frequency,116.590,116.071,133.144,0.000,0.000
lesion,206.640,207.308,210.320,0.000,0.000
assessment,115.063,115.304,169.110,0.000,0.000
criterion,232.475,235.275,244.730,0.000,0.000
daily,128.944,127.680,195.848,0.000,0.000
amount,134.835,130.206,193.488,0.000,0.000
paper,136.723,136.605,165.983,0.000,0.000
action,118.313,118.354,177.817,0.000,0.000
five,68.466,66.644,74.531,0.000,0.000
correlation,200.627,200.191,187.108,0.000,0.000
vaccination,210.953,211.146,225.862,0.000,0.000
status,156.616,158.659,232.121,0.000,0.000
suggested,82.716,82.709,77.445,0.000,0.000
dynamic,120.663,119.567,109.413,0.000,0.000
hiv,141.853,140.249,156.445,0.000,0.000
evaluated,137.219,136.325,162.984,0.000,0.000
despite,90.278,89.653,165.161,0.000,0.000
air,152.386,152.719,219.268,0.000,0.000
usa,111.410,111.733,98.134,0.000,0.000
currently,102.345,102.262,124.558,0.000,0.000
woman,133.681,134.952,192.871,0.000,0.000
selected,78.553,78.232,102.091,0.000,0.000
survival,210.269,209.624,163.538,0.000,0.000
benefit,144.439,143.580,205.498,0.000,0.000
estimated,120.081,119.134,160.921,0.000,0.000
performance,139.447,140.495,162.336,0.000,0.000
