word,global,noise-aware,self,top,bot
oscillation,16.351,16.410,17.125,0.000,0.000
finesse,43.783,43.948,44.767,0.000,0.000
encountering,17.092,17.235,17.316,0.000,0.000
redefined,18.639,18.573,18.778,0.000,0.000
alcove,17.664,17.727,17.594,0.000,0.000
purposefully,14.239,14.225,14.295,0.000,0.000
experimenter,42.209,42.177,41.624,0.000,0.000
kipling,11.813,11.817,11.068,0.000,0.000
carpenters,27.044,27.081,27.339,0.000,0.000
475,22.141,22.130,23.158,0.000,0.000
321,19.350,19.433,21.181,0.000,0.000
cain,24.568,24.565,24.224,0.000,0.000
upheavals,25.424,25.473,26.135,0.000,0.000
lego,23.771,23.742,23.834,0.000,0.000
yawn,14.516,14.373,14.498,0.000,0.000
pcb,41.106,41.043,42.459,0.000,0.000
photon,24.561,24.512,27.643,0.000,0.000
poachers,16.343,16.301,16.663,0.000,0.000
encroachment,12.254,12.280,12.096,0.000,0.000
bogged,20.917,20.843,19.802,0.000,0.000
hiphop,61.545,61.304,60.768,0.000,0.000
bale,35.840,36.133,36.081,0.000,0.000
dubai,39.919,40.224,39.897,0.000,0.000
depress,8.369,8.377,8.736,0.000,0.000
footprint,50.231,50.387,51.387,0.000,0.000
345,18.846,18.813,20.009,0.000,0.000
ambulances,19.871,19.931,20.074,0.000,0.000
gills,13.656,13.643,13.472,0.000,0.000
hilt,10.223,10.171,9.596,0.000,0.000
marcel,27.160,27.021,27.629,0.000,0.000
vince,37.589,37.592,37.580,0.000,0.000
avery,18.632,18.576,18.535,0.000,0.000
shrapnel,28.228,28.195,27.876,0.000,0.000
301,44.047,44.396,46.915,0.000,0.000
bodice,14.699,14.699,14.017,0.000,0.000
northerly,7.538,7.542,7.835,0.000,0.000
octopus,18.323,18.295,18.227,0.000,0.000
tapering,5.046,5.029,5.039,0.000,0.000
elated,9.633,9.642,9.067,0.000,0.000
flotilla,17.303,17.166,17.134,0.000,0.000
squatters,15.834,15.810,15.863,0.000,0.000
ginny,10.684,10.644,10.842,0.000,0.000
cath,7.262,7.248,7.167,0.000,0.000
pulmonary,42.905,42.904,44.913,0.000,0.000
daine,34.342,34.180,33.306,0.000,0.000
jurors,85.616,86.135,85.835,0.000,0.000
cadres,13.494,13.426,14.762,0.000,0.000
decayed,7.273,7.302,7.035,0.000,0.000
rewriting,17.698,17.720,18.164,0.000,0.000
indebtedness,9.101,9.010,9.693,0.000,0.000
kneel,24.807,24.603,24.024,0.000,0.000
cherish,22.001,21.883,21.448,0.000,0.000
surrendering,10.532,10.546,10.419,0.000,0.000
firstrate,14.513,14.513,14.516,0.000,0.000
millionaires,22.539,22.518,22.729,0.000,0.000
psychedelic,24.482,24.365,24.054,0.000,0.000
marlowe,11.698,11.762,11.428,0.000,0.000
theologian,51.783,51.591,54.335,0.000,0.000
reserving,14.833,14.775,14.985,0.000,0.000
umbrellas,19.387,19.403,19.586,0.000,0.000
lags,36.409,36.637,38.013,0.000,0.000
racked,25.277,25.280,24.797,0.000,0.000
12yearold,26.553,26.530,25.851,0.000,0.000
nicole,49.493,49.547,48.218,0.000,0.000
astounding,19.379,19.368,19.351,0.000,0.000
steely,19.173,19.185,18.610,0.000,0.000
esprit,30.193,30.771,30.303,0.000,0.000
dwelt,6.615,6.603,6.499,0.000,0.000
stunted,18.181,18.241,18.243,0.000,0.000
scourge,13.449,13.389,13.053,0.000,0.000
grapevine,11.419,11.476,11.857,0.000,0.000
repetitions,71.663,71.599,72.708,0.000,0.000
plumes,25.797,25.821,25.976,0.000,0.000
bathe,28.372,28.451,28.532,0.000,0.000
surreptitiously,11.796,11.791,11.833,0.000,0.000
ineligible,38.186,38.190,39.505,0.000,0.000
hollows,9.825,9.804,9.537,0.000,0.000
tortuous,7.989,8.008,8.219,0.000,0.000
untoward,5.080,5.170,5.273,0.000,0.000
idealized,32.907,32.859,32.422,0.000,0.000
postulate,9.179,9.096,9.188,0.000,0.000
wilkie,8.473,8.423,8.557,0.000,0.000
challengers,27.703,27.772,27.292,0.000,0.000
mallet,25.052,25.030,24.654,0.000,0.000
logos,39.591,39.511,39.607,0.000,0.000
boer,11.382,11.579,11.829,0.000,0.000
barbarian,10.395,10.360,10.814,0.000,0.000
pianos,14.052,14.025,14.250,0.000,0.000
niches,32.972,32.925,33.351,0.000,0.000
rocker,29.552,29.560,28.874,0.000,0.000
notched,10.807,10.872,10.894,0.000,0.000
249,18.343,18.417,20.320,0.000,0.000
feline,11.283,11.247,11.021,0.000,0.000
atheist,23.481,23.545,24.160,0.000,0.000
atherton,17.697,17.521,17.599,0.000,0.000
majors,83.582,83.789,83.912,0.000,0.000
binge,47.471,47.613,47.652,0.000,0.000
assad,48.305,48.083,51.485,0.000,0.000
caffeine,63.693,63.547,60.540,0.000,0.000
cloning,78.378,78.650,80.239,0.000,0.000
cartels,38.346,38.467,39.029,0.000,0.000
astronomer,105.395,105.746,107.404,0.000,0.000
seizures,38.070,38.002,39.169,0.000,0.000
hearsay,10.400,10.501,10.922,0.000,0.000
raping,21.035,20.966,20.823,0.000,0.000
285,23.997,24.159,26.386,0.000,0.000
distantly,8.592,8.529,8.880,0.000,0.000
underpants,16.086,15.990,15.120,0.000,0.000
subway,65.936,66.046,67.578,0.000,0.000
motioned,35.572,35.499,35.098,0.000,0.000
participatory,40.124,40.163,41.313,0.000,0.000
myles,9.108,9.098,8.809,0.000,0.000
bedclothes,5.217,5.165,5.088,0.000,0.000
habermas,10.320,10.304,11.089,0.000,0.000
robb,24.079,24.075,23.305,0.000,0.000
narcotics,48.539,48.373,47.817,0.000,0.000
esa,38.757,38.896,40.021,0.000,0.000
