word,global,noise-aware,self,top,bot
wear,21.357,21.184,20.422,0.000,0.000
mine,18.982,18.565,18.753,0.000,0.000
creating,11.653,11.549,16.431,0.000,0.000
silence,20.097,20.047,21.532,0.000,0.000
signs,27.497,26.738,25.792,0.000,0.000
library,34.305,34.128,33.456,0.000,0.000
chairman,54.544,53.903,56.365,0.000,0.000
double,19.090,19.113,18.152,0.000,0.000
smiled,29.859,29.295,33.606,0.000,0.000
faces,19.562,19.774,21.172,0.000,0.000
statement,26.525,26.168,29.278,0.000,0.000
song,22.641,22.319,20.095,0.000,0.000
boston,38.137,39.392,36.491,0.000,0.000
contract,54.948,54.679,56.931,0.000,0.000
henry,30.793,30.213,30.164,0.000,0.000
medicine,37.325,37.070,46.323,0.000,0.000
jackson,38.577,39.223,38.147,0.000,0.000
agree,17.470,17.504,19.238,0.000,0.000
eastern,34.688,34.319,33.389,0.000,0.000
cash,40.258,40.064,34.438,0.000,0.000
martin,23.785,23.573,25.153,0.000,0.000
operations,20.677,20.227,20.875,0.000,0.000
shut,33.038,32.498,35.790,0.000,0.000
1986,28.757,28.101,24.166,0.000,0.000
december,38.479,36.577,30.908,0.000,0.000
grade,104.248,103.364,98.809,0.000,0.000
desk,29.354,28.526,23.548,0.000,0.000
england,78.793,78.757,68.502,0.000,0.000
aside,34.758,35.108,40.261,0.000,0.000
corporate,40.827,40.837,39.597,0.000,0.000
nearby,11.320,11.285,11.776,0.000,0.000
weapons,33.109,32.953,41.055,0.000,0.000
advantage,22.552,21.544,24.426,0.000,0.000
tall,15.223,15.172,18.322,0.000,0.000
talked,14.879,14.476,16.298,0.000,0.000
cell,60.706,60.162,65.349,0.000,0.000
target,33.995,33.929,33.105,0.000,0.000
threat,36.901,36.879,47.866,0.000,0.000
knowing,12.516,11.979,15.807,0.000,0.000
partner,25.736,25.705,27.645,0.000,0.000
owner,47.606,47.410,45.215,0.000,0.000
lunch,23.258,22.821,23.842,0.000,0.000
cross,28.102,27.769,26.757,0.000,0.000
fighting,16.597,16.659,17.975,0.000,0.000
pair,22.438,22.680,20.456,0.000,0.000
currently,15.422,15.415,16.262,0.000,0.000
sam,29.307,29.276,25.501,0.000,0.000
teach,14.327,13.828,16.640,0.000,0.000
realize,16.166,15.740,19.076,0.000,0.000
