word,global,noise-aware,self,top,bot
components,20.619,20.988,34.109,0.000,0.000
base,5.858,6.313,5.345,0.000,0.000
common,1.964,1.821,1.929,0.000,0.000
negative,6.383,6.451,7.992,0.000,0.000
quantitative,12.792,12.884,12.446,0.000,0.000
generalized,12.410,13.085,9.700,0.000,0.000
describe,2.638,2.808,2.491,0.000,0.000
construct,1.815,1.856,1.736,0.000,0.000
account,4.547,4.545,4.142,0.000,0.000
equivalence,8.640,8.725,8.661,0.000,0.000
group,17.225,16.179,14.738,0.000,0.000
support,2.728,3.143,2.979,0.000,0.000
definitions,2.727,2.754,2.811,0.000,0.000
construction,1.490,1.591,1.760,0.000,0.000
small,6.663,6.784,7.145,0.000,0.000
principle,20.269,21.555,19.973,0.000,0.000
component,8.686,9.025,16.051,0.000,0.000
basis,1.987,1.875,2.650,0.000,0.000
best,4.905,4.876,5.123,0.000,0.000
strong,4.599,4.287,4.305,0.000,0.000
setting,0.526,0.517,0.716,0.000,0.000
version,3.002,3.169,2.485,0.000,0.000
apply,1.487,1.581,1.796,0.000,0.000
left,3.584,3.344,6.375,0.000,0.000
equations,27.192,27.380,28.941,0.000,0.000
satisfied,3.963,3.731,5.774,0.000,0.000
call,1.366,1.608,1.335,0.000,0.000
arguments,9.585,9.853,9.543,0.000,0.000
experimental,3.831,3.911,2.583,0.000,0.000
difference,1.107,1.242,1.123,0.000,0.000
consistency,4.142,4.201,6.036,0.000,0.000
role,2.344,2.310,3.049,0.000,0.000
labels,6.872,6.909,7.004,0.000,0.000
atoms,16.401,16.174,16.509,0.000,0.000
partition,7.085,7.359,7.566,0.000,0.000
fock,5.172,5.108,5.842,0.000,0.000
rational,5.140,5.238,5.268,0.000,0.000
provides,0.938,0.935,0.791,0.000,0.000
integer,6.835,6.832,8.194,0.000,0.000
generated,5.494,5.860,3.046,0.000,0.000
global,8.326,8.140,9.854,0.000,0.000
gives,5.449,5.253,5.874,0.000,0.000
solve,4.429,4.719,5.495,0.000,0.000
including,1.956,1.946,2.166,0.000,0.000
made,1.554,1.575,1.327,0.000,0.000
easily,1.274,1.254,1.307,0.000,0.000
physics,7.318,7.442,5.513,0.000,0.000
generally,0.674,0.624,1.109,0.000,0.000
figure,7.757,7.807,10.985,0.000,0.000
evaluation,5.193,5.556,5.093,0.000,0.000
ones,1.429,1.539,1.774,0.000,0.000
goal,3.411,3.450,3.507,0.000,0.000
procedure,3.281,3.362,3.088,0.000,0.000
pairs,3.447,3.501,3.836,0.000,0.000
top,1.694,1.695,1.545,0.000,0.000
situations,5.607,5.803,5.635,0.000,0.000
idea,1.071,1.085,0.981,0.000,0.000
selected,5.469,5.653,5.623,0.000,0.000
reduction,6.354,6.362,7.048,0.000,0.000
required,2.627,2.607,2.924,0.000,0.000
contain,5.422,5.405,5.385,0.000,0.000
sector,1.836,1.764,1.765,0.000,0.000
easy,1.431,1.492,1.807,0.000,0.000
satisfy,3.736,3.696,4.075,0.000,0.000
measurements,11.279,11.962,9.128,0.000,0.000
etc,1.491,1.496,1.358,0.000,0.000
objective,9.093,9.198,8.866,0.000,0.000
latter,2.017,1.973,2.498,0.000,0.000
event,5.528,6.733,4.880,0.000,0.000
additional,7.406,7.486,7.001,0.000,0.000
universe,3.968,3.970,4.130,0.000,0.000
circle,22.142,22.472,22.686,0.000,0.000
done,1.814,1.826,2.024,0.000,0.000
conclusion,4.960,4.769,5.782,0.000,0.000
high,1.297,1.389,0.874,0.000,0.000
hilbert,11.242,11.068,10.948,0.000,0.000
finding,2.480,2.428,2.603,0.000,0.000
scheme,4.097,4.362,3.910,0.000,0.000
domains,1.732,1.833,1.936,0.000,0.000
entity,19.657,19.625,18.872,0.000,0.000
name,5.369,5.433,5.571,0.000,0.000
events,4.817,5.887,3.341,0.000,0.000
sum,3.444,3.392,3.925,0.000,0.000
physical,11.002,11.656,9.516,0.000,0.000
factor,5.830,5.700,5.525,0.000,0.000
techniques,2.971,3.041,3.243,0.000,0.000
choose,2.256,2.222,2.677,0.000,0.000
exact,4.088,4.198,5.489,0.000,0.000
allow,1.761,1.805,1.827,0.000,0.000
relative,12.435,13.083,12.115,0.000,0.000
induction,9.492,8.667,7.380,0.000,0.000
interesting,0.963,1.043,1.108,0.000,0.000
existing,1.587,1.630,1.738,0.000,0.000
energy,23.948,24.540,27.515,0.000,0.000
column,6.527,6.415,6.453,0.000,0.000
hold,2.255,2.177,2.793,0.000,0.000
mass,24.546,24.848,29.138,0.000,0.000
satisfying,6.637,6.418,6.469,0.000,0.000
und,12.770,13.027,11.799,0.000,0.000
maximum,5.690,5.661,5.837,0.000,0.000
entities,8.735,8.768,8.284,0.000,0.000
current,34.468,35.138,39.323,0.000,0.000
nature,0.816,0.919,0.799,0.000,0.000
self,17.129,16.963,16.906,0.000,0.000
full,2.116,2.076,1.572,0.000,0.000
bounded,3.830,3.811,4.731,0.000,0.000
behavior,4.221,4.386,5.791,0.000,0.000
aspects,1.257,1.302,0.966,0.000,0.000
field,22.429,23.006,25.545,0.000,0.000
available,1.136,1.199,0.820,0.000,0.000
developed,0.648,0.646,0.947,0.000,0.000
proofs,4.724,4.548,4.763,0.000,0.000
expected,3.595,3.657,3.789,0.000,0.000
makes,1.257,1.290,1.354,0.000,0.000
consequence,1.483,1.632,2.015,0.000,0.000
understanding,1.858,1.990,2.215,0.000,0.000
end,1.318,1.226,1.286,0.000,0.000
represents,1.383,1.408,1.559,0.000,0.000
proved,1.531,1.343,1.737,0.000,0.000
years,2.728,2.801,2.719,0.000,0.000
block,6.658,6.654,6.619,0.000,0.000
effects,12.149,12.298,9.583,0.000,0.000
expressed,5.200,5.018,7.180,0.000,0.000
sciences,2.897,2.996,3.530,0.000,0.000
sufficient,1.631,1.701,1.515,0.000,0.000
mind,7.653,7.724,7.616,0.000,0.000
useful,1.383,1.394,1.102,0.000,0.000
symmetry,24.886,25.469,19.520,0.000,0.000
ieee,8.705,10.033,9.516,0.000,0.000
directly,0.509,0.530,0.399,0.000,0.000
atom,25.642,24.836,24.793,0.000,0.000
mentioned,1.127,1.192,1.239,0.000,0.000
approximations,8.556,8.626,8.354,0.000,0.000
eds,10.699,10.756,10.767,0.000,0.000
future,2.833,2.732,3.012,0.000,0.000
together,1.061,1.257,1.231,0.000,0.000
last,5.431,5.420,5.983,0.000,0.000
unit,16.561,16.602,12.615,0.000,0.000
existence,3.526,3.257,4.063,0.000,0.000
constant,7.717,7.921,10.729,0.000,0.000
per,7.790,8.212,6.414,0.000,0.000
namely,1.197,1.344,1.724,0.000,0.000
family,3.653,3.567,3.730,0.000,0.000
translation,10.107,10.587,9.513,0.000,0.000
reason,1.293,1.324,1.326,0.000,0.000
false,10.377,10.415,9.908,0.000,0.000
taken,0.782,0.758,1.235,0.000,0.000
adding,9.708,9.793,9.511,0.000,0.000
representing,1.629,1.582,1.524,0.000,0.000
article,1.476,1.639,1.542,0.000,0.000
corollary,3.322,3.359,4.347,0.000,0.000
although,0.407,0.488,0.566,0.000,0.000
composite,14.932,15.172,14.936,0.000,0.000
kind,1.571,1.584,1.586,0.000,0.000
spaces,2.404,2.218,3.207,0.000,0.000
transition,4.007,4.104,4.234,0.000,0.000
applying,0.532,0.567,0.414,0.000,0.000
infinite,3.266,3.126,3.960,0.000,0.000
experiment,7.621,8.091,6.035,0.000,0.000
list,5.630,5.762,5.395,0.000,0.000
simply,1.218,1.163,1.276,0.000,0.000
minimum,6.149,6.562,6.056,0.000,0.000
combinations,6.789,6.848,7.381,0.000,0.000
chosen,0.967,0.979,0.861,0.000,0.000
