word,global,noise-aware,self,top,bot
assuming,0.598,0.548,0.594,0.000,0.000
usually,1.327,1.333,1.836,0.000,0.000
original,1.477,1.563,1.931,0.000,0.000
cambridge,2.175,1.747,0.913,0.000,0.000
interacting,7.088,7.270,8.078,0.000,0.000
considering,1.476,1.586,1.665,0.000,0.000
flow,2.665,2.629,2.621,0.000,0.000
compared,2.603,2.692,2.648,0.000,0.000
required,2.627,2.805,2.898,0.000,0.000
trajectory,12.339,12.949,11.414,0.000,0.000
calculate,1.438,1.563,1.323,0.000,0.000
argument,13.687,13.934,15.763,0.000,0.000
experiment,7.621,7.590,5.813,0.000,0.000
observed,1.398,1.413,1.254,0.000,0.000
final,3.172,2.969,2.212,0.000,0.000
sense,2.767,2.502,2.186,0.000,0.000
identical,2.613,2.520,2.085,0.000,0.000
springer,12.461,12.529,10.633,0.000,0.000
notice,0.651,0.624,1.075,0.000,0.000
exists,9.608,9.904,11.937,0.000,0.000
represented,4.339,4.482,4.163,0.000,0.000
whose,1.545,1.688,1.527,0.000,0.000
application,1.257,1.242,0.966,0.000,0.000
might,3.032,2.893,2.575,0.000,0.000
principles,1.999,2.116,2.845,0.000,0.000
laboratory,5.616,5.766,5.742,0.000,0.000
role,2.344,2.665,3.702,0.000,0.000
seems,1.329,1.331,1.309,0.000,0.000
square,2.558,2.575,2.515,0.000,0.000
obtains,3.109,3.140,3.072,0.000,0.000
become,2.632,2.630,2.534,0.000,0.000
indices,5.997,6.073,5.414,0.000,0.000
idea,1.071,1.063,1.067,0.000,0.000
sign,3.360,3.356,3.366,0.000,0.000
including,1.956,1.979,2.406,0.000,0.000
appear,1.369,1.280,0.818,0.000,0.000
induced,10.198,10.171,7.807,0.000,0.000
mean,1.912,1.829,2.002,0.000,0.000
main,2.721,2.790,1.870,0.000,0.000
interpretation,8.515,9.029,8.711,0.000,0.000
area,11.672,12.034,11.388,0.000,0.000
asymptotic,1.199,1.136,2.077,0.000,0.000
elements,14.091,13.947,16.621,0.000,0.000
modern,1.856,1.786,1.880,0.000,0.000
der,17.660,17.401,18.059,0.000,0.000
dimension,1.626,1.567,1.334,0.000,0.000
van,5.704,5.428,5.238,0.000,0.000
phenomena,1.070,1.063,1.168,0.000,0.000
moreover,0.623,0.786,1.001,0.000,0.000
low,3.032,3.172,2.499,0.000,0.000
generally,0.674,0.742,1.054,0.000,0.000
wiley,6.758,6.711,6.043,0.000,0.000
geometry,1.422,1.342,0.893,0.000,0.000
represent,1.654,1.534,1.935,0.000,0.000
inside,2.239,2.204,2.206,0.000,0.000
meaning,16.845,16.787,16.319,0.000,0.000
holds,7.819,8.048,12.391,0.000,0.000
high,1.297,1.557,1.088,0.000,0.000
elementary,4.634,4.774,4.610,0.000,0.000
say,3.983,3.854,4.005,0.000,0.000
introducing,1.606,1.645,1.726,0.000,0.000
connection,2.548,2.526,2.229,0.000,0.000
appropriate,1.084,1.009,1.089,0.000,0.000
review,1.967,1.896,1.762,0.000,0.000
via,2.177,2.113,2.013,0.000,0.000
uniformly,7.412,7.380,7.968,0.000,0.000
configuration,3.450,3.703,3.901,0.000,0.000
dual,3.596,3.795,4.165,0.000,0.000
opposite,5.300,5.247,5.124,0.000,0.000
evaluated,2.808,2.840,2.788,0.000,0.000
examples,3.594,3.396,3.037,0.000,0.000
coefficients,3.747,3.647,2.583,0.000,0.000
validity,1.471,1.383,1.603,0.000,0.000
lead,0.828,0.735,0.904,0.000,0.000
matrices,3.640,3.536,7.635,0.000,0.000
proposition,29.203,27.925,42.024,0.000,0.000
gaussian,7.833,7.955,7.039,0.000,0.000
satisfied,3.963,4.559,5.964,0.000,0.000
treatment,6.271,6.146,4.898,0.000,0.000
