word,global,noise-aware,self,top,bot
additional,6.943,6.970,7.872,0.000,0.000
universe,5.959,5.982,5.400,0.000,0.000
done,3.520,3.538,3.417,0.000,0.000
conclusion,6.842,6.836,6.709,0.000,0.000
high,14.966,15.259,14.999,0.000,0.000
finding,2.745,2.783,2.510,0.000,0.000
patterns,6.479,6.416,6.412,0.000,0.000
scheme,3.865,3.784,4.238,0.000,0.000
sum,14.812,14.998,14.486,0.000,0.000
physical,12.742,12.792,14.796,0.000,0.000
factor,14.352,13.373,14.650,0.000,0.000
techniques,1.562,1.656,1.301,0.000,0.000
selection,8.047,7.961,7.201,0.000,0.000
choose,4.853,4.825,5.002,0.000,0.000
exact,7.574,7.572,7.542,0.000,0.000
allow,1.836,1.747,2.156,0.000,0.000
relative,11.013,11.002,9.757,0.000,0.000
induction,6.611,6.584,6.889,0.000,0.000
interesting,1.878,1.953,2.252,0.000,0.000
existing,1.345,1.344,1.545,0.000,0.000
energy,17.675,17.964,18.673,0.000,0.000
column,9.263,9.381,14.474,0.000,0.000
hold,5.159,5.103,5.101,0.000,0.000
mass,38.995,35.857,52.109,0.000,0.000
satisfying,8.304,8.296,8.673,0.000,0.000
shafer,9.308,9.655,10.175,0.000,0.000
maximum,4.562,4.636,3.881,0.000,0.000
current,4.584,4.945,4.267,0.000,0.000
nature,2.697,2.676,3.558,0.000,0.000
self,20.361,19.861,20.618,0.000,0.000
full,3.272,3.097,3.019,0.000,0.000
bounded,6.222,6.469,6.253,0.000,0.000
behavior,3.416,3.485,3.677,0.000,0.000
aspects,4.355,4.259,4.516,0.000,0.000
field,47.848,47.210,48.920,0.000,0.000
available,14.446,14.305,14.429,0.000,0.000
developed,8.235,7.962,7.574,0.000,0.000
expected,7.828,7.701,7.317,0.000,0.000
makes,3.299,3.237,3.851,0.000,0.000
consequence,3.366,3.312,3.992,0.000,0.000
understanding,2.506,2.546,2.837,0.000,0.000
end,2.213,2.199,1.963,0.000,0.000
represents,2.841,3.092,2.532,0.000,0.000
proved,2.273,2.228,2.199,0.000,0.000
years,2.488,2.642,2.641,0.000,0.000
block,4.820,4.930,5.009,0.000,0.000
effects,27.578,30.028,32.069,0.000,0.000
expressed,7.471,7.895,7.734,0.000,0.000
sciences,6.318,6.577,7.585,0.000,0.000
sufficient,3.259,3.273,2.919,0.000,0.000
mind,8.118,8.114,7.965,0.000,0.000
useful,1.873,1.934,2.259,0.000,0.000
symmetry,18.080,18.311,18.247,0.000,0.000
ieee,23.355,23.694,25.669,0.000,0.000
directly,1.449,1.504,1.945,0.000,0.000
atom,39.476,36.745,38.445,0.000,0.000
mentioned,1.731,1.693,2.913,0.000,0.000
approximations,8.423,8.193,8.705,0.000,0.000
eds,14.291,14.354,16.049,0.000,0.000
future,2.498,2.648,2.839,0.000,0.000
together,2.084,2.328,1.858,0.000,0.000
last,5.339,5.426,5.077,0.000,0.000
unit,9.443,9.121,8.455,0.000,0.000
existence,2.876,2.661,3.638,0.000,0.000
constant,41.930,41.734,36.880,0.000,0.000
per,7.718,7.775,6.842,0.000,0.000
namely,2.092,2.155,1.360,0.000,0.000
family,3.964,4.010,3.654,0.000,0.000
reason,2.321,2.211,2.006,0.000,0.000
taken,5.456,5.630,5.776,0.000,0.000
adding,9.015,9.173,9.107,0.000,0.000
strategy,1.838,1.877,2.188,0.000,0.000
representing,1.073,1.091,1.111,0.000,0.000
article,2.923,2.814,2.961,0.000,0.000
vertex,17.419,17.624,17.405,0.000,0.000
although,3.490,3.417,3.587,0.000,0.000
composite,16.096,16.292,16.121,0.000,0.000
kind,1.436,1.509,1.270,0.000,0.000
spaces,3.670,3.601,3.503,0.000,0.000
transition,30.545,30.435,30.913,0.000,0.000
applying,0.887,0.921,1.077,0.000,0.000
infinite,5.216,5.354,5.048,0.000,0.000
experiment,17.130,15.984,21.065,0.000,0.000
list,5.471,5.561,6.523,0.000,0.000
simply,1.425,1.490,1.175,0.000,0.000
minimum,6.498,6.504,6.438,0.000,0.000
combinations,8.018,8.197,7.508,0.000,0.000
chosen,4.326,4.361,4.407,0.000,0.000
matrices,7.772,7.165,8.363,0.000,0.000
performance,2.287,2.312,2.197,0.000,0.000
connected,1.979,2.024,1.938,0.000,0.000
weighted,5.180,5.111,5.098,0.000,0.000
source,1.921,1.969,1.875,0.000,0.000
volume,19.557,19.375,27.433,0.000,0.000
